date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:37	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/adela04/Desktop/blog/blog/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:37	239120/239120	---MCZ	200	added ('OK')	application/javascript	etag:%22ec26b33d406dacfa0c34aaa61257a796-ssl-df%22	https://retnews.netlify.app/js/index.bundle.js?1fcca2a2c42e9d47a3eb	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/js/index.bundle3875.js	(from https://retnews.netlify.app/homepage-v1)
10:05:38	20458/20458	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed1-4fea%22	https://cdnjs.cloudflare.com/ajax/libs/lightgallery/1.6.12/css/lightgallery.min.css	C:/Users/adela04/Desktop/blog/blog/cdnjs.cloudflare.com/ajax/libs/lightgallery/1.6.12/css/lightgallery.min.css	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:39	103061/103061	---M--	200	added ('OK')	image/jpeg	etag:%22239599056d682119e3756c7f57ccb00c-ssl%22	https://retnews.netlify.app/images/bg_section_04.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/bg_section_04.jpg	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:39	40276/40276	---M--	200	added ('OK')	image/png	etag:%22547426007ac8ca41391d21db1ff88069-ssl%22	https://retnews.netlify.app/images/bg_section_01.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/bg_section_01.png	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:40	13264/13264	---M--	200	added ('OK')	image/png	etag:%2215fd09a0309c5ca745768c3cc8023089-ssl%22	https://retnews.netlify.app/images/bg_section_02.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/bg_section_02.png	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:41	61137/61137	---M--	200	added ('OK')	image/jpeg	etag:%22a109d9c57caea8ebab55a697842285f0-ssl%22	https://retnews.netlify.app/images/bg_section_05.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/bg_section_05.jpg	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:41	1837/1837	---M-Z	404	error ('Not%20Found')	text/html	etag:1577372374-ssl-df	https://retnews.netlify.app/node_modules/slick-carousel/slick-carousel/slick/ajax-loader.gif	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/node_modules/slick-carousel/slick-carousel/slick/ajax-loader.43.delayed	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:42	16981/16981	---M--	200	added ('OK')	image/jpeg	etag:%228486835ce6f42e99c39fcce29ac97ed2-ssl%22	https://retnews.netlify.app/images/bg_section_03.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/bg_section_03.jpg	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:42	39743/39743	---M--	200	added ('OK')	image/jpeg	etag:%22c3e58f14728090f41fc45eda74280bbe-ssl%22	https://retnews.netlify.app/images/bg-news.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/bg-news.jpg	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:43	273261/273261	---M--	200	added ('OK')	image/jpeg	etag:%221b975286946fd7dc7aec6af153e342e5-ssl%22	https://retnews.netlify.app/images/index.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/index.jpg	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:43	34592/34592	---M--	200	added ('OK')	image/jpeg	etag:%221dc404f71c93581cec17176ad65214de-ssl%22	https://retnews.netlify.app/images/home02.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/home02.jpg	(from https://retnews.netlify.app/css/styles.css?1fcca2a2c42e9d47a3eb)
10:05:44	43005/43005	---M--	200	added ('OK')	image/png	etag:%2223f777f9436953d6166f96e1db8aac78-ssl%22	https://retnews.netlify.app/images/banner.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/banner.png	(from https://retnews.netlify.app/homepage-v2)
10:05:45	1837/1837	---M-Z	404	error ('Not%20Found')	text/html	etag:1577372374-ssl-df	https://retnews.netlify.app/article-detail-v4.html	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/article-detail-v4.49.delayed	(from https://retnews.netlify.app/homepage-v2)
10:05:45	14991/14991	---M--	200	added ('OK')	image/jpeg	etag:%22e40bb0d04795c65d3f862c0b6295e8b0-ssl%22	https://retnews.netlify.app/images/banner1.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/banner1.jpg	(from https://retnews.netlify.app/homepage-v2)
10:05:46	14047/14047	---M--	200	added ('OK')	image/jpeg	etag:%2215712a9023f13751c65f02cefb800447-ssl%22	https://retnews.netlify.app/images/thumb/news7.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/thumb/news7.jpg	(from https://retnews.netlify.app/homepage-v2)
10:05:48	12343/12343	---M--	200	added ('OK')	image/jpeg	etag:%2290d1a2c21aca72a8ebc2d780f1d89bd4-ssl%22	https://retnews.netlify.app/images/thumb/news8.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/thumb/news8.jpg	(from https://retnews.netlify.app/homepage-v2)
10:05:48	568843/568843	---M--	200	added ('OK')	image/png	etag:%22b106f21811ee07806c7317e0b22b5e13-ssl%22	https://retnews.netlify.app/images/newsimage23.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage23.png	(from https://retnews.netlify.app/homepage-v2)
10:05:49	134152/134152	---M--	200	added ('OK')	image/jpeg	etag:%220b36e7b290d4aa2e0aee64bbfd5b0725-ssl%22	https://retnews.netlify.app/images/thumb/news9.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/thumb/news9.jpg	(from https://retnews.netlify.app/homepage-v2)
10:05:51	1658350/1658350	---M--	200	added ('OK')	image/png	etag:%2258d5d7904a2a9b09176dbef48f140b3e-ssl%22	https://retnews.netlify.app/images/newsimage24.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage24.png	(from https://retnews.netlify.app/homepage-v2)
10:05:51	1405706/1405706	---M--	200	added ('OK')	image/png	etag:%22835973b51bacd4628f527b43b4afafd6-ssl%22	https://retnews.netlify.app/images/newsimage25.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage25.png	(from https://retnews.netlify.app/homepage-v2)
10:05:52	2075692/2075692	---M--	200	added ('OK')	image/png	etag:%222d792648771ce87a243fdd2b6aee3b53-ssl%22	https://retnews.netlify.app/images/newsimage26.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage26.png	(from https://retnews.netlify.app/homepage-v2)
10:05:52	322307/322307	---M--	200	added ('OK')	image/png	etag:%2225d71a5c621675f4848761909f511251-ssl%22	https://retnews.netlify.app/images/newsimage22.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage22.png	(from https://retnews.netlify.app/homepage-v2)
10:05:54	2064149/2064149	---M--	200	added ('OK')	image/png	etag:%22461c0452e5ae65212351699c1d692555-ssl%22	https://retnews.netlify.app/images/newsimage27.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage27.png	(from https://retnews.netlify.app/homepage-v2)
10:05:54	1602256/1602256	---M--	200	added ('OK')	image/png	etag:%226b8c5b95cc438826ef7fbf873751b7f2-ssl%22	https://retnews.netlify.app/images/newsimage28.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage28.png	(from https://retnews.netlify.app/homepage-v2)
10:05:55	7173/7173	---M--	200	added ('OK')	image/jpeg	etag:%2274d53c56eae9f34907b99f74c6165dd9-ssl%22	https://retnews.netlify.app/images/thumb/news11.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/thumb/news11.jpg	(from https://retnews.netlify.app/homepage-v2)
10:05:55	1887055/1887055	---M--	200	added ('OK')	image/png	etag:%22c789778cb658454afe00e7b689b24418-ssl%22	https://retnews.netlify.app/images/newsimage29.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage29.png	(from https://retnews.netlify.app/homepage-v2)
10:05:55	7345/7345	---M--	200	added ('OK')	image/jpeg	etag:%221b1d0550623e80e870fc51578435c57b-ssl%22	https://retnews.netlify.app/images/thumb/news12.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/thumb/news12.jpg	(from https://retnews.netlify.app/homepage-v2)
10:05:56	12270/12270	---M--	200	added ('OK')	image/jpeg	etag:%22b43872db35ec5b54f5a6ad7f95aa532e-ssl%22	https://retnews.netlify.app/images/banner6.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/banner6.jpg	(from https://retnews.netlify.app/homepage-v2)
10:05:56	4782/4782	---M--	200	added ('OK')	image/png	etag:%222d046f1a256b0b081b22a7080d14af97-ssl%22	https://retnews.netlify.app/images/logo_footer_yoga.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/logo_footer_yoga.png	(from https://retnews.netlify.app/homepage-v3)
10:05:59	1828379/1828379	---M--	200	added ('OK')	image/jpeg	etag:%2258c1c6334b640490f17f77fd0310de60-ssl%22	https://retnews.netlify.app/images/news12.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/news12.jpg	(from https://retnews.netlify.app/homepage-v3)
10:05:59	778952/778952	---M--	200	added ('OK')	image/jpeg	etag:%220d31580d4ce3ad77f90dedc456fcb49a-ssl%22	https://retnews.netlify.app/images/news13.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/news13.jpg	(from https://retnews.netlify.app/homepage-v3)
10:05:59	1021665/1021665	---M--	200	added ('OK')	image/jpeg	etag:%22c363eb80ed54644a00742f00992a4aaf-ssl%22	https://retnews.netlify.app/images/news15.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/news15.jpg	(from https://retnews.netlify.app/homepage-v3)
10:06:00	1390711/1390711	---M--	200	added ('OK')	image/jpeg	etag:%2231ed4fcd9e1937e826338b60f9481372-ssl%22	https://retnews.netlify.app/images/news10.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/news10.jpg	(from https://retnews.netlify.app/homepage-v3)
10:06:01	1532959/1532959	---M--	200	added ('OK')	image/jpeg	etag:%22d78f64a99ff54e4e46d44d146688ef92-ssl%22	https://retnews.netlify.app/images/news11.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/news11.jpg	(from https://retnews.netlify.app/homepage-v3)
10:06:02	1612528/1612528	---M--	200	added ('OK')	image/jpeg	etag:%22732178432ed859ff3bc99a50525fd7ce-ssl%22	https://retnews.netlify.app/images/hero-banner4.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/hero-banner4.jpg	(from https://retnews.netlify.app/homepage-v3)
10:06:03	1284558/1284558	---M--	200	added ('OK')	image/jpeg	etag:%225e5f0ec1b7be76635d16dc4cf830a7ec-ssl%22	https://retnews.netlify.app/images/hero-banner.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/hero-banner.jpg	(from https://retnews.netlify.app/homepage-v3)
10:06:03	787165/787165	---M--	200	added ('OK')	image/jpeg	etag:%22337983cf2a890440f36750014c7122f6-ssl%22	https://retnews.netlify.app/images/bg_section_06.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/bg_section_06.jpg	(from https://retnews.netlify.app/homepage-v3)
10:06:04	177164/177164	---M--	200	added ('OK')	image/png	etag:%223ccbe2c06821884a0f1523e750d6bfc9-ssl%22	https://retnews.netlify.app/images/imagepost1.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/imagepost1.png	(from https://retnews.netlify.app/homepage-v3)
10:06:06	990476/990476	---M--	200	added ('OK')	image/png	etag:%227115b8f01dcf1d6654177b546c5a9b62-ssl%22	https://retnews.netlify.app/images/imagepost2.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/imagepost2.png	(from https://retnews.netlify.app/homepage-v3)
